Gene	sgRNA	eff
lig	lig|4	1
lig	lig|32	1
lig	lig|17	1
lig	lig|49	1
lig	lig|78	1
slr0240	slr0240|13	1
slr0240	slr0240|37	1
slr0240	slr0240|24	1
slr0240	slr0240|129	1
slr0240	slr0240|86	1
slr0241	slr0241|37	1
slr0241	slr0241|69	1
slr0241	slr0241|133	1
slr0241	slr0241|109	1
slr0241	slr0241|55	1
slr0740	slr0740|23	1
slr0740	slr0740|54	1
slr0740	slr0740|85	1
slr0740	slr0740|106	1
slr0740	slr0740|132	1
slr0249	slr0249|154	1
slr0249	slr0249|124	1
slr0249	slr0249|27	1
slr0249	slr0249|109	1
slr0249	slr0249|175	1
trpE	trpE|57	1
trpE	trpE|200	1
trpE	trpE|317	1
trpE	trpE|268	1
trpE	trpE|220	1
hrcA	hrcA|70	1
hrcA	hrcA|9	1
hrcA	hrcA|56	1
hrcA	hrcA|29	1
hrcA	hrcA|44	1
sll1040	sll1040|58	1
sll1040	sll1040|80	1
sll1040	sll1040|3	1
sll1040	sll1040|14	1
sll1040	sll1040|25	1
pnp	pnp|100	1
pnp	pnp|89	1
pnp	pnp|19	1
pnp	pnp|130	1
pnp	pnp|62	1
slr0254	slr0254|181	1
slr0254	slr0254|265	1
slr0254	slr0254|169	1
slr0254	slr0254|157	1
slr0254	slr0254|31	1
slr0731	slr0731|58	1
slr0731	slr0731|70	1
slr0731	slr0731|88	1
slr0731	slr0731|43	1
slr0731	slr0731|27	1
slr0732	slr0732|106	1
slr0732	slr0732|6	1
slr0732	slr0732|403	1
slr0734	slr0734|97	1
slr0734	slr0734|86	1
slr0734	slr0734|40	1
slr0734	slr0734|109	1
